               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071087,             0.20022,            0.050053,            0.050575,             0.12517,            0.059168,            0.022012,            0.059964,             0.33682,            0.044508,            0.070093,            0.003323,            0.003323
                   1,            0.059929,             0.21583,            0.039987,             0.38559,             0.20754,             0.11205,            0.040555,            0.053793,             0.35155,            0.038049,            0.040027,           0.0065905,           0.0065905
                   2,            0.055991,             0.22488,             0.03593,             0.29432,             0.25571,             0.12149,            0.050326,            0.052131,             0.35299,            0.035128,           0.0098948,           0.0097919,           0.0097919
                   3,            0.051501,             0.22596,            0.033417,             0.39569,             0.25435,             0.18057,            0.076891,            0.048066,             0.35266,            0.032762,            0.009703,            0.009703,            0.009703
                   4,            0.047768,             0.22729,            0.030561,              0.4244,             0.28488,             0.21365,             0.10619,            0.042432,              0.3492,            0.030512,            0.009703,            0.009703,            0.009703
                   5,            0.045538,             0.22381,            0.028599,             0.46501,             0.28257,             0.23993,             0.12012,            0.041911,             0.34994,            0.028634,            0.009604,            0.009604,            0.009604
                   6,            0.044019,             0.22238,            0.027042,             0.49832,             0.29523,             0.27032,             0.13515,            0.041259,             0.34764,            0.027568,            0.009505,            0.009505,            0.009505
                   7,            0.042807,             0.22159,            0.025968,             0.47502,             0.30794,             0.29587,             0.15434,             0.03996,             0.34324,            0.026809,            0.009406,            0.009406,            0.009406
                   8,            0.041822,             0.22146,            0.025093,             0.38582,             0.33183,             0.31353,             0.16014,            0.040169,             0.34614,            0.026153,            0.009307,            0.009307,            0.009307
                   9,            0.041194,               0.221,            0.024326,             0.38088,              0.3536,             0.32387,             0.16944,            0.039781,             0.34581,            0.025648,            0.009208,            0.009208,            0.009208
                  10,            0.040553,             0.21887,            0.023719,              0.4209,             0.35037,             0.33836,             0.17981,            0.039032,              0.3435,            0.025143,            0.009109,            0.009109,            0.009109
                  11,            0.040089,             0.21887,            0.022957,             0.44464,             0.35941,             0.34869,             0.18712,            0.038619,             0.34078,            0.024544,             0.00901,             0.00901,             0.00901
                  12,            0.039528,             0.21928,            0.022416,              0.4316,             0.36398,               0.349,             0.18911,            0.038369,             0.34329,            0.024672,            0.008911,            0.008911,            0.008911
                  13,            0.039261,             0.21627,            0.022053,             0.46036,             0.36296,             0.36275,             0.20175,            0.037099,             0.33898,            0.023932,            0.008812,            0.008812,            0.008812
                  14,            0.038657,               0.217,            0.021504,             0.45823,             0.37017,             0.37282,             0.20518,             0.03739,             0.34024,            0.023876,            0.008713,            0.008713,            0.008713
                  15,            0.038278,             0.21589,            0.021234,             0.46752,             0.37755,             0.37891,              0.2059,            0.037406,             0.34094,            0.023493,            0.008614,            0.008614,            0.008614
                  16,            0.038145,             0.21702,            0.020831,             0.49353,             0.38703,             0.38989,             0.21895,            0.036696,             0.33761,              0.0232,            0.008515,            0.008515,            0.008515
                  17,            0.037852,             0.21629,            0.020446,             0.48322,              0.3947,             0.39741,             0.22464,            0.036557,               0.338,            0.022729,            0.008416,            0.008416,            0.008416
                  18,            0.037658,             0.21433,            0.020398,             0.47975,             0.40177,             0.40413,             0.22997,            0.036346,             0.33741,            0.022773,            0.008317,            0.008317,            0.008317
                  19,            0.037237,             0.21556,            0.019778,             0.48138,             0.41481,             0.41363,             0.23184,            0.036256,             0.33769,              0.0225,            0.008218,            0.008218,            0.008218
                  20,            0.037002,             0.21088,              0.0197,             0.47685,             0.41513,             0.41267,             0.23622,            0.035898,              0.3353,            0.022405,            0.008119,            0.008119,            0.008119
                  21,            0.036727,             0.20997,            0.019476,             0.49637,             0.41093,             0.41504,             0.23706,            0.035626,             0.33505,            0.022158,             0.00802,             0.00802,             0.00802
                  22,            0.036446,             0.21206,            0.019101,             0.50029,             0.42031,             0.42154,             0.24112,            0.035565,             0.33515,            0.022109,            0.007921,            0.007921,            0.007921
                  23,            0.036316,             0.20918,            0.018958,              0.5083,             0.41762,             0.42389,             0.24202,            0.035664,             0.33475,            0.022079,            0.007822,            0.007822,            0.007822
                  24,            0.036046,             0.20921,            0.018734,             0.50002,               0.434,             0.43153,             0.24794,            0.035477,             0.33512,            0.021735,            0.007723,            0.007723,            0.007723
                  25,            0.035893,             0.20999,            0.018568,             0.50384,             0.43511,             0.43383,             0.24946,            0.035378,              0.3343,            0.021612,            0.007624,            0.007624,            0.007624
                  26,            0.035685,             0.20845,            0.018316,             0.49686,              0.4395,             0.43571,             0.25037,            0.035144,             0.33359,            0.021566,            0.007525,            0.007525,            0.007525
                  27,            0.035597,             0.20751,            0.018272,             0.51283,             0.44264,             0.44152,             0.25367,            0.035201,             0.33505,            0.021455,            0.007426,            0.007426,            0.007426
                  28,            0.035411,               0.209,             0.01822,             0.51137,             0.44604,             0.44586,             0.25634,            0.035014,               0.334,            0.021314,            0.007327,            0.007327,            0.007327
                  29,            0.035216,             0.20872,            0.017908,             0.51957,             0.43822,             0.44037,             0.25392,             0.03503,             0.33481,            0.021243,            0.007228,            0.007228,            0.007228
                  30,            0.035204,             0.20726,            0.017825,             0.51415,             0.44505,             0.44556,             0.25659,            0.034976,             0.33275,            0.021187,            0.007129,            0.007129,            0.007129
                  31,            0.034862,             0.20733,            0.017685,              0.5268,             0.44625,             0.45145,             0.25951,            0.034972,             0.33395,            0.020944,             0.00703,             0.00703,             0.00703
                  32,            0.034819,              0.2085,            0.017389,             0.53086,             0.44005,             0.45221,             0.26201,             0.03472,             0.33332,            0.020964,            0.006931,            0.006931,            0.006931
                  33,            0.034583,             0.20693,            0.017331,             0.52699,             0.45121,             0.45194,             0.25949,            0.034791,             0.33297,            0.020872,            0.006832,            0.006832,            0.006832
                  34,            0.034354,             0.20588,            0.017173,             0.52741,             0.45067,              0.4548,             0.26274,            0.034637,             0.33254,             0.02068,            0.006733,            0.006733,            0.006733
                  35,            0.034415,              0.2054,            0.017098,             0.52781,              0.4531,             0.45782,             0.26409,            0.034554,             0.33271,            0.020546,            0.006634,            0.006634,            0.006634
                  36,            0.034427,             0.20654,            0.017057,             0.53162,              0.4518,             0.45691,             0.26444,            0.034522,             0.33166,            0.020533,            0.006535,            0.006535,            0.006535
                  37,            0.034165,             0.20688,            0.016881,             0.53491,              0.4599,             0.46151,             0.26602,            0.034539,             0.33326,            0.020538,            0.006436,            0.006436,            0.006436
                  38,            0.033932,             0.20208,            0.016625,             0.54554,             0.45231,             0.46363,             0.26843,            0.034309,              0.3315,            0.020394,            0.006337,            0.006337,            0.006337
                  39,            0.034031,             0.20447,            0.016759,             0.53379,             0.46488,             0.46507,              0.2672,            0.034455,              0.3313,            0.020173,            0.006238,            0.006238,            0.006238
                  40,            0.033794,             0.20351,            0.016637,              0.5418,             0.46115,             0.47096,              0.2724,             0.03429,             0.33173,            0.020139,            0.006139,            0.006139,            0.006139
                  41,            0.033623,             0.20258,            0.016443,             0.54064,             0.46133,             0.46702,             0.27144,            0.034218,             0.33174,            0.020296,             0.00604,             0.00604,             0.00604
                  42,             0.03369,              0.2022,            0.016516,             0.54491,             0.45889,             0.46802,               0.272,            0.034218,             0.33039,            0.020295,            0.005941,            0.005941,            0.005941
                  43,            0.033481,             0.20415,            0.016255,             0.53755,             0.46759,             0.47072,             0.27209,             0.03416,             0.33056,            0.020228,            0.005842,            0.005842,            0.005842
                  44,            0.033521,             0.20485,            0.016111,             0.53099,             0.47073,             0.47255,              0.2745,            0.034068,             0.33012,            0.020098,            0.005743,            0.005743,            0.005743
                  45,            0.033232,             0.20117,             0.01616,             0.53216,             0.46664,             0.47129,             0.27312,            0.033996,             0.33068,            0.020145,            0.005644,            0.005644,            0.005644
                  46,            0.033236,             0.20097,            0.015838,             0.55505,             0.46381,             0.47188,             0.27286,             0.03412,             0.33171,            0.020133,            0.005545,            0.005545,            0.005545
