               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063928,             0.17628,             0.04635,            0.064878,             0.21262,            0.093648,            0.038361,            0.055097,              0.3345,              0.0394,            0.070093,            0.003323,            0.003323
                   1,            0.054764,             0.21988,            0.036234,              0.4597,             0.23865,             0.17474,            0.088433,            0.043733,             0.35287,            0.034042,            0.040027,           0.0065905,           0.0065905
                   2,             0.05054,             0.22694,            0.031372,             0.42411,             0.28007,             0.22188,             0.10836,            0.043529,              0.3516,            0.029923,           0.0098948,           0.0097919,           0.0097919
                   3,            0.045856,              0.2279,            0.028045,             0.48866,             0.30282,             0.26495,             0.13185,            0.040985,             0.35602,            0.027764,            0.009703,            0.009703,            0.009703
                   4,            0.042812,             0.22796,             0.02563,             0.43894,             0.34315,             0.32965,             0.18073,            0.037672,             0.34942,             0.02657,            0.009703,            0.009703,            0.009703
                   5,            0.041266,              0.2237,            0.024013,             0.43245,             0.36304,             0.35067,              0.1883,            0.038216,             0.34836,            0.024874,            0.009604,            0.009604,            0.009604
                   6,            0.040067,             0.22205,            0.022917,             0.45451,             0.37899,             0.37171,             0.20297,            0.037479,             0.34892,            0.024833,            0.009505,            0.009505,            0.009505
                   7,            0.038952,             0.22083,             0.02193,             0.46267,             0.38783,             0.38124,             0.21594,            0.036687,             0.34449,            0.023887,            0.009406,            0.009406,            0.009406
                   8,            0.038243,             0.22088,             0.02121,              0.4749,             0.40396,             0.39888,             0.22333,            0.036349,             0.34571,            0.023134,            0.009307,            0.009307,            0.009307
                   9,            0.037957,              0.2203,            0.020718,             0.46569,             0.41377,             0.40693,             0.23178,            0.035407,              0.3446,            0.023352,            0.009208,            0.009208,            0.009208
                  10,            0.037262,              0.2177,            0.020255,             0.49431,             0.43126,             0.42338,             0.24092,             0.03539,             0.34187,            0.022364,            0.009109,            0.009109,            0.009109
                  11,            0.037048,             0.21793,            0.019713,             0.50437,             0.41594,             0.41547,             0.23619,            0.035971,             0.34317,            0.022484,             0.00901,             0.00901,             0.00901
                  12,            0.036754,             0.21812,            0.019272,             0.50511,             0.43295,             0.42646,             0.24428,            0.035075,             0.34219,            0.021896,            0.008911,            0.008911,            0.008911
                  13,            0.036438,             0.21523,            0.019009,             0.50824,             0.43793,             0.42893,              0.2478,            0.034599,             0.34023,            0.022112,            0.008812,            0.008812,            0.008812
                  14,            0.036031,             0.21556,            0.018665,             0.52703,             0.43615,             0.44181,             0.25205,            0.035005,             0.34141,            0.021484,            0.008713,            0.008713,            0.008713
                  15,            0.035862,             0.21435,             0.01849,             0.50278,             0.44987,             0.44374,             0.25803,            0.034613,             0.33914,            0.021393,            0.008614,            0.008614,            0.008614
                  16,            0.035522,             0.21533,            0.018159,             0.52545,             0.44819,             0.45655,             0.26581,            0.034268,              0.3368,            0.020921,            0.008515,            0.008515,            0.008515
                  17,            0.035284,              0.2148,            0.017893,             0.52982,             0.44974,             0.45157,              0.2615,            0.034661,             0.33888,            0.020938,            0.008416,            0.008416,            0.008416
