               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064546,             0.17868,            0.047662,             0.16052,             0.20191,            0.098312,             0.04096,            0.057291,             0.34214,            0.040981,            0.070093,            0.003323,            0.003323
                   1,            0.054981,             0.22193,            0.037401,             0.30477,             0.29296,             0.14973,            0.073546,            0.044323,              0.3574,            0.035517,            0.040027,           0.0065905,           0.0065905
                   2,            0.050417,             0.22821,             0.03265,             0.39278,             0.27232,              0.2083,             0.10614,            0.041598,             0.35352,            0.031265,           0.0098948,           0.0097919,           0.0097919
                   3,             0.04618,             0.22763,            0.028861,             0.45136,             0.30693,             0.24856,             0.12479,            0.041008,             0.35914,            0.028393,            0.009703,            0.009703,            0.009703
                   4,            0.042759,             0.22816,            0.026265,             0.38351,             0.34056,             0.30933,             0.17043,            0.037606,              0.3494,            0.027121,            0.009703,            0.009703,            0.009703
                   5,            0.041289,              0.2238,            0.024645,             0.39974,             0.35974,             0.33539,             0.18529,            0.037696,             0.34668,              0.0256,            0.009604,            0.009604,            0.009604
                   6,            0.040078,             0.22207,            0.023419,             0.43969,             0.36614,             0.35501,             0.19509,            0.037658,             0.35138,            0.024999,            0.009505,            0.009505,            0.009505
                   7,            0.038971,              0.2211,            0.022455,             0.43478,             0.39106,             0.37094,             0.21061,            0.036205,             0.34353,            0.024107,            0.009406,            0.009406,            0.009406
                   8,            0.038109,             0.22113,            0.021702,             0.43336,             0.40347,             0.37842,             0.21005,            0.036671,             0.34667,             0.02412,            0.009307,            0.009307,            0.009307
                   9,            0.037934,              0.2203,            0.021117,             0.47255,             0.41468,             0.40416,             0.22776,             0.03641,             0.34584,             0.02298,            0.009208,            0.009208,            0.009208
                  10,            0.037303,             0.21801,            0.020549,             0.49355,             0.41444,             0.40982,             0.23679,            0.035261,             0.34369,            0.022687,            0.009109,            0.009109,            0.009109
                  11,            0.037059,             0.21799,            0.019957,             0.49715,             0.40974,             0.40464,             0.23029,            0.035955,             0.34279,            0.022914,             0.00901,             0.00901,             0.00901
                  12,            0.036658,             0.21815,             0.01956,             0.49675,             0.42125,             0.41665,             0.23961,            0.035252,             0.34283,            0.022201,            0.008911,            0.008911,            0.008911
                  13,            0.036358,             0.21511,             0.01931,             0.50272,             0.43525,              0.4333,             0.25238,            0.034824,             0.33943,            0.021885,            0.008812,            0.008812,            0.008812
