               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085329,             0.24246,            0.045197,             0.06592,             0.21802,            0.085739,            0.036086,            0.069789,             0.38844,            0.037708,            0.070093,            0.003323,            0.003323
                   1,            0.066363,             0.25625,            0.034955,             0.47418,             0.25428,             0.18918,            0.090538,            0.055007,             0.38692,             0.03249,            0.040027,           0.0065905,           0.0065905
                   2,            0.061251,             0.25565,            0.030291,             0.41426,             0.29881,             0.22085,             0.10095,            0.055334,             0.38228,            0.029258,           0.0098948,           0.0097919,           0.0097919
                   3,            0.057303,             0.25119,            0.027413,             0.49391,             0.32898,              0.2814,             0.14221,            0.050379,              0.3871,             0.02736,            0.009703,            0.009703,            0.009703
                   4,            0.053674,             0.24761,             0.02505,             0.42072,             0.36283,             0.34002,             0.18486,            0.047381,             0.37435,            0.025891,            0.009703,            0.009703,            0.009703
                   5,             0.05182,             0.24206,            0.023483,             0.44643,             0.35948,             0.35473,             0.18631,            0.048178,             0.37326,            0.024641,            0.009604,            0.009604,            0.009604
                   6,            0.050741,               0.239,             0.02242,             0.45451,             0.38429,             0.37636,             0.20428,            0.047278,             0.37453,            0.024175,            0.009505,            0.009505,            0.009505
                   7,             0.04972,             0.23677,            0.021515,             0.44794,             0.39691,             0.38614,             0.21431,            0.046806,             0.36758,            0.023397,            0.009406,            0.009406,            0.009406
                   8,            0.049066,             0.23604,             0.02087,             0.47285,             0.40445,             0.39889,             0.22254,            0.046383,             0.36964,            0.023052,            0.009307,            0.009307,            0.009307
                   9,            0.048419,             0.23498,            0.020394,             0.46532,              0.4274,             0.40807,             0.22886,            0.045839,             0.36764,            0.022771,            0.009208,            0.009208,            0.009208
                  10,            0.047864,             0.23204,            0.019985,             0.49327,             0.42716,             0.41689,             0.23551,            0.045077,             0.36283,            0.022075,            0.009109,            0.009109,            0.009109
                  11,            0.047599,             0.23193,            0.019509,             0.48525,             0.42361,             0.41792,             0.23832,            0.045283,             0.36328,            0.022134,             0.00901,             0.00901,             0.00901
                  12,            0.047191,             0.23158,            0.019109,             0.49781,             0.42662,             0.41949,             0.23574,            0.045472,              0.3646,            0.022254,            0.008911,            0.008911,            0.008911
                  13,            0.046677,             0.22829,            0.018916,             0.49799,             0.43857,              0.4318,              0.2477,            0.044872,             0.36364,            0.021632,            0.008812,            0.008812,            0.008812
                  14,            0.046403,             0.22852,            0.018506,             0.52921,             0.43189,               0.441,             0.25081,            0.044434,             0.36234,            0.021268,            0.008713,            0.008713,            0.008713
                  15,            0.046408,               0.227,            0.018395,             0.51952,             0.43852,             0.44213,             0.25616,            0.044213,             0.35948,            0.021202,            0.008614,            0.008614,            0.008614
                  16,            0.045927,             0.22787,             0.01808,             0.53255,             0.44474,             0.45057,             0.26082,             0.04399,             0.35961,            0.020937,            0.008515,            0.008515,            0.008515
                  17,            0.045747,             0.22696,             0.01783,             0.52081,             0.43828,             0.44584,             0.25803,            0.044227,             0.36134,            0.021092,            0.008416,            0.008416,            0.008416
                  18,            0.045582,             0.22489,            0.017854,             0.53901,             0.43864,             0.45493,             0.26513,            0.043623,             0.35841,            0.020724,            0.008317,            0.008317,            0.008317
                  19,            0.045229,             0.22562,            0.017373,              0.5244,              0.4557,             0.45937,             0.26732,              0.0436,             0.35612,            0.020565,            0.008218,            0.008218,            0.008218
                  20,            0.044898,             0.22051,            0.017318,             0.53195,             0.46122,             0.46139,             0.26788,            0.043531,             0.35643,            0.020514,            0.008119,            0.008119,            0.008119
